name,type,stats,description,colection,card_link
Power Word Kill,Instant,-,"Destroy target non-Angel, non-Demon, non-Devil, non-Dragon creature.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/114/power-word-kill
Vorpal Sword,Artifact | Equipment,-,"Equipped creature gets +2/+0 and has deathtouch. : Until end of turn, Vorpal Sword gains “Whenever equipped creature deals combat damage to a player, that player loses the game.” Equip ",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/124/vorpal-sword
Prosperous Innkeeper,Creature | Halfling Citizen,1/1,"When Prosperous Innkeeper enters the battlefield, create a Treasure token.  Whenever another creature enters the battlefield under your control, you gain 1 life.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/200/prosperous-innkeeper
Bruenor Battlehammer,Legendary Creature | Dwarf Warrior,5/3,Each creature you control gets +2/+0 for each Equipment attached to it. You may pay   rather than pay the equip cost of the first equip ability you activate each turn.,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/219/bruenor-battlehammer
Drizzt Do'Urden,Legendary Creature | Elf Ranger,3/3,"Double strike When Drizzt Do'Urden enters the battlefield, create Guenhwyvar, a legendary 4/1 green Cat creature token with trample. Whenever a creature dies, if it had power greater than Drizzt’s power, put a number of +1/+1 counters on Drizzt equal to the difference.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/220/drizzt-dourden
Tiamat,Legendary Creature | Dragon God,7/7,"Flying When Tiamat enters the battlefield, if you cast it, search your library for up to five Dragon cards not named Tiamat that each have different names, reveal them, put them into your hand, then shuffle.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/235/tiamat
Plains,Basic Land | Plains,-,-,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/265/plains
Island,Basic Land | Island,-,-,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/269/island
Swamp,Basic Land | Swamp,-,-,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/273/swamp
Mountain,Basic Land | Mountain,-,-,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/277/mountain
Forest,Basic Land | Forest,-,-,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/281/forest
"Lolth, Spider Queen",Legendary Planeswalker | Lolth,Loyalty: 4,"Whenever a creature you control dies, put a loyalty counter on Lolth, Spider Queen. 0: You draw a card and you lose 1 life. −3: Create two 2/1 black Spider creature tokens with menace and reach. −8: You get an emblem with “Whenever an opponent is dealt combat damage by one or more creatures you control, if that player lost less than 8 life this turn, they lose life equal to the difference.”",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/284/lolth-spider-queen
Tiamat,Legendary Creature | Dragon God,7/7,"Flying When Tiamat enters the battlefield, if you cast it, search your library for up to five Dragon cards not named Tiamat that each have different names, reveal them, put them into your hand, then shuffle.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/298/tiamat
Bruenor Battlehammer,Legendary Creature | Dwarf Warrior,5/3,Each creature you control gets +2/+0 for each Equipment attached to it. You may pay   rather than pay the equip cost of the first equip ability you activate each turn.,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/337/bruenor-battlehammer
Drizzt Do'Urden,Legendary Creature | Elf Ranger,3/3,"Double strike When Drizzt Do'Urden enters the battlefield, create Guenhwyvar, a legendary 4/1 green Cat creature token with trample. Whenever a creature dies, if it had power greater than Drizzt’s power, put a number of +1/+1 counters on Drizzt equal to the difference.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/338/drizzt-dourden
Vorpal Sword,Artifact | Equipment,-,"Equipped creature gets +2/+0 and has deathtouch. : Until end of turn, Vorpal Sword gains “Whenever equipped creature deals combat damage to a player, that player loses the game.” Equip ",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/377/vorpal-sword
Vorpal Sword,Artifact | Equipment,-,"Equipped creature gets +2/+0 and has deathtouch. : Until end of turn, Vorpal Sword gains “Whenever equipped creature deals combat damage to a player, that player loses the game.” Equip ",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/396/vorpal-sword
"Anowon, the Ruin Thief",Legendary Creature | Vampire Rogue,2/4,"Other Rogues you control get +1/+1. Whenever one or more Rogues you control deal combat damage to a player, that player mills a card for each 1 damage dealt to them. If the player mills at least one creature card this way, you draw a card. ",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/1/anowon-the-ruin-thief
"Obuun, Mul Daya Ancestor",Legendary Creature | Elf Spirit,3/3,"At the beginning of combat on your turn, up to one target land you control becomes an X/X Elemental creature with trample and haste until end of turn, where X is Obuun’s power. It’s still a land.  — Whenever a land enters the battlefield under your control, put a +1/+1 counter on target creature.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/2/obuun-mul-daya-ancestor
Trove Warden,Creature | Cat Beast,3/4,"Vigilance  — Whenever a land enters the battlefield under your control, exile target permanent card with mana value 3 or less from your graveyard. When Trove Warden dies, put each permanent card exiled with it onto the battlefield under the control of that card’s owner.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/3/trove-warden
Enigma Thief,Creature | Sphinx Rogue,5/5,"Prowl    Flying When Enigma Thief enters the battlefield, for each opponent, return up to one target nonland permanent that player controls to its owner’s hand.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/4/enigma-thief
Whispersteel Dagger,Artifact | Equipment,-,"Equipped creature gets +2/+0. Whenever equipped creature deals combat damage to a player, you may cast a creature spell from that player’s graveyard this turn, and you may spend mana as though it were mana of any color to cast that spell. Equip ",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/5/whispersteel-dagger
Geode Rager,Creature | Elemental,4/3,"First strike  — Whenever a land enters the battlefield under your control, goad each creature target player controls. ",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/6/geode-rager
"Anowon, the Ruin Thief",Legendary Creature | Vampire Rogue,2/4,"Other Rogues you control get +1/+1. Whenever one or more Rogues you control deal combat damage to a player, that player mills a card for each 1 damage dealt to them. If the player mills at least one creature card this way, you draw a card. ",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/7/anowon-the-ruin-thief
"Obuun, Mul Daya Ancestor",Legendary Creature | Elf Spirit,3/3,"At the beginning of combat on your turn, up to one target land you control becomes an X/X Elemental creature with trample and haste until end of turn, where X is Obuun’s power. It’s still a land.  — Whenever a land enters the battlefield under your control, put a +1/+1 counter on target creature.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/8/obuun-mul-daya-ancestor
Abzan Falconer,Creature | Human Soldier,2/3,Outlast    Each creature you control with a +1/+1 counter on it has flying.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/9/abzan-falconer
Admonition Angel,Creature | Angel,6/6,"Flying  — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel. When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners’ control.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/10/admonition-angel
Banishing Light,Enchantment,-,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/11/banishing-light
Condemn,Instant,-,Put target attacking creature on the bottom of its owner’s library. Its controller gains life equal to its toughness.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/12/condemn
Crush Contraband,Instant,-,Choose one or both — • Exile target artifact. • Exile target enchantment.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/13/crush-contraband
Elite Scaleguard,Creature | Human Soldier,2/3,"When Elite Scaleguard enters the battlefield, bolster 2.  Whenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/14/elite-scaleguard
Emeria Angel,Creature | Angel,3/3,"Flying  — Whenever a land enters the battlefield under your control, you may create a 1/1 white Bird creature token with flying.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/15/emeria-angel
Emeria Shepherd,Creature | Angel,4/4,"Flying  — Whenever a land enters the battlefield under your control, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/16/emeria-shepherd
Hour of Revelation,Sorcery,-,This spell costs   less to cast if there are ten or more nonland permanents on the battlefield. Destroy all nonland permanents.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/17/hour-of-revelation
Kor Cartographer,Creature | Kor Scout,2/2,"When Kor Cartographer enters the battlefield, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/18/kor-cartographer
Planar Outburst,Sorcery,-,Destroy all nonland creatures. Awaken 4—  ,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/19/planar-outburst
Retreat to Emeria,Enchantment,-," — Whenever a land enters the battlefield under your control, choose one — • Create a 1/1 white Kor Ally creature token. • Creatures you control get +1/+1 until end of turn.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/20/retreat-to-emeria
Sun Titan,Creature | Giant,6/6,"Vigilance Whenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/21/sun-titan
Together Forever,Enchantment,-,"When Together Forever enters the battlefield, support 2.  : Choose target creature with a counter on it. When that creature dies this turn, return that card to its owner’s hand.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/22/together-forever
Aetherize,Instant,-,Return all attacking creatures to their owner’s hand.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/23/aetherize
Distant Melody,Sorcery,-,Choose a creature type. Draw a card for each permanent you control of that type.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/24/distant-melody
Fact or Fiction,Instant,-,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/25/fact-or-fiction
Faerie Vandal,Creature | Faerie Rogue,1/2,"Flash Flying Whenever you draw your second card each turn, put a +1/+1 counter on Faerie Vandal.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/26/faerie-vandal
Invisible Stalker,Creature | Human Rogue,1/1,Hexproof  Invisible Stalker can’t be blocked.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/27/invisible-stalker
Latchkey Faerie,Creature | Faerie Rogue,3/1,"Flying Prowl    When Latchkey Faerie enters the battlefield, if its prowl cost was paid, draw a card.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/28/latchkey-faerie
Angel,Token Creature | Angel,4/4,Flying,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/1/angel
Marang River Prowler,Creature | Human Rogue,2/1,Marang River Prowler can’t block and can’t be blocked. You may cast Marang River Prowler from your graveyard as long as you control a black or green permanent.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/29/marang-river-prowler
Master Thief,Creature | Human Rogue,2/2,"When Master Thief enters the battlefield, gain control of target artifact for as long as you control Master Thief.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/30/master-thief
Military Intelligence,Enchantment,-,"Whenever you attack with two or more creatures, draw a card.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/31/military-intelligence
Nightveil Sprite,Creature | Faerie Rogue,1/2,"Flying Whenever Nightveil Sprite attacks, surveil 1. ",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/32/nightveil-sprite
Notorious Throng,Tribal Sorcery | Rogue,-,"Prowl    Create X 1/1 black Faerie Rogue creature tokens with flying, where X is the damage dealt to your opponents this turn. If this spell’s prowl cost was paid, take an extra turn after this one.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/33/notorious-throng
Open into Wonder,Sorcery,-,"X target creatures can’t be blocked this turn. Until end of turn, those creatures gain “Whenever this creature deals combat damage to a player, draw a card.”",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/34/open-into-wonder
Scourge of Fleets,Creature | Kraken,6/6,"When Scourge of Fleets enters the battlefield, return each creature your opponents control with toughness X or less to its owner’s hand, where X is the number of Islands you control.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/35/scourge-of-fleets
Slither Blade,Creature | Naga Rogue,1/2,Slither Blade can’t be blocked.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/36/slither-blade
Stolen Identity,Sorcery,-,Create a token that’s a copy of target artifact or creature. Cipher ,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/37/stolen-identity
Triton Shorestalker,Creature | Merfolk Rogue,1/1,Triton Shorestalker can’t be blocked.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/38/triton-shorestalker
Whirler Rogue,Creature | Human Rogue Artificer,2/2,"When Whirler Rogue enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying. Tap two untapped artifacts you control: Target creature can’t be blocked this turn.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/39/whirler-rogue
Changeling Outcast,Creature | Shapeshifter,1/1,Changeling  Changeling Outcast can’t block and can’t be blocked.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/40/changeling-outcast
Endless Obedience,Sorcery,-,Convoke  Put target creature card from a graveyard onto the battlefield under your control.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/41/endless-obedience
Fated Return,Instant,-,"Put target creature card from a graveyard onto the battlefield under your control. It gains indestructible. If it’s your turn, scry 2. ",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/42/fated-return
Frogtosser Banneret,Creature | Goblin Rogue,1/1,Haste Goblin spells and Rogue spells you cast cost   less to cast.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/43/frogtosser-banneret
"Gonti, Lord of Luxury",Legendary Creature | Aetherborn Rogue,2/3,"Deathtouch When Gonti, Lord of Luxury enters the battlefield, look at the top four cards of target opponent’s library, exile one of them face down, then put the rest on the bottom of that library in a random order. You may look at and cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/44/gonti-lord-of-luxury
In Garruk's Wake,Sorcery,-,Destroy all creatures you don’t control and all planeswalkers you don’t control.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/45/in-garruks-wake
Marsh Flitter,Creature | Faerie Rogue,1/1,"Flying When Marsh Flitter enters the battlefield, create two 1/1 black Goblin Rogue creature tokens. Sacrifice a Goblin: Marsh Flitter has base power and toughness 3/3 until end of turn.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/46/marsh-flitter
Murder,Instant,-,Destroy target creature.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/47/murder
Necromantic Selection,Sorcery,-,"Destroy all creatures, then return a creature card put into a graveyard this way to the battlefield under your control. It’s a black Zombie in addition to its other colors and types. Exile Necromantic Selection.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/48/necromantic-selection
Nighthowler,Enchantment Creature | Horror,0/0,"Bestow    Nighthowler and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/49/nighthowler
Ogre Slumlord,Creature | Ogre Rogue,3/3,"Whenever another nontoken creature dies, you may create a 1/1 black Rat creature token. Rats you control have deathtouch.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/50/ogre-slumlord
Oona's Blackguard,Creature | Faerie Rogue,1/1,"Flying Each other Rogue creature you control enters the battlefield with an additional +1/+1 counter on it. Whenever a creature you control with a +1/+1 counter on it deals combat damage to a player, that player discards a card.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/51/oonas-blackguard
Price of Fame,Instant,-,This spell costs   less to cast if it targets a legendary creature. Destroy target creature. Surveil 2. ,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/52/price-of-fame
Rise from the Grave,Sorcery,-,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.,Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/53/rise-from-the-grave
Sepulchral Primordial,Creature | Avatar,5/4,"Intimidate  When Sepulchral Primordial enters the battlefield, for each opponent, you may put up to one target creature card from that player’s graveyard onto the battlefield under your control.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/54/sepulchral-primordial
Stinkdrinker Bandit,Creature | Goblin Rogue,2/1,"Prowl    Whenever a Rogue you control attacks and isn’t blocked, it gets +2/+1 until end of turn.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/55/stinkdrinker-bandit
"Syr Konrad, the Grim",Legendary Creature | Human Knight,5/4,"Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent. : Each player mills a card.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/56/syr-konrad-the-grim
Zulaport Cutthroat,Creature | Human Rogue Ally,1/1,"Whenever Zulaport Cutthroat or another creature you control dies, each opponent loses 1 life and you gain 1 life.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/57/zulaport-cutthroat
Abundance,Enchantment,-,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/58/abundance
Soldier,Token Creature | Soldier,1/1,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/2/soldier
Spirit,Token Creature | Spirit,1/1,Flying,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/3/spirit
Salamander Warrior,Token Creature | Salamander Warrior,4/3,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/4/salamander-warrior
Thrull,Token Creature | Thrull,0/1,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/5/thrull
Zombie,Token Creature | Zombie,2/2,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/6/zombie
Dragon,Token Creature | Dragon,2/2,Flying : This creature gets +1/+0 until end of turn.,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/7/dragon
Elf Warrior,Token Creature | Elf Warrior,1/1,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/8/elf-warrior
Golem,Token Artifact Creature | Golem,3/3,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/9/golem
Horror,Token Artifact Creature | Horror,*/*,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/10/horror
Rock,Token Artifact | Equipment,-,"Equipped creature has “ ,  , Sacrifice Rock: This creature deals 2 damage to any target.” Equip ",Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/11/rock
Treasure,Token Artifact | Treasure,-,", Sacrifice this artifact: Add one mana of any color.",Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/12/treasure
Copy,Token,-,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/13/copy
The Monarch,Card,-,"At the beginning of your end step, draw a card. Whenever a creature deals combat damage to you, its controller becomes the monarch.",Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/14/the-monarch
Cat,Token Creature | Cat,2/2,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/15/cat
Soldier,Token Creature | Soldier,1/1,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/16/soldier
Illusion,Token Creature | Illusion,1/1,Flying,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/17/illusion
Beast,Token Creature | Beast,3/3,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/18/beast
Beast,Token Creature | Beast,4/4,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/19/beast
Elephant,Token Creature | Elephant,3/3,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/20/elephant
Plant,Token Creature | Plant,0/1,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/21/plant
Saproling,Token Creature | Saproling,1/1,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/22/saproling
Copy,Token,-,-,Commander Legends Tokens (TCMR),https://scryfall.com/card/tcmr/23/copy
Acidic Slime,Creature | Ooze,2/2,"Deathtouch  When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",Zendikar Rising Commander (ZNC),https://scryfall.com/card/znc/59/acidic-slime
